is_home,odds_draw,odds_lose,odds_win,weighted_occurences,team_name_normalized,event_type_normalized,position_normalized
1.0,3.65,5.0,1.75,1.0,2,0,1
0.0,3.87,1.62,5.88,0.0,2,0,1
0.0,3.66,1.89,4.09,0.0,2,0,1
1.0,3.67,2.5,2.68,0.0,2,0,1
0.0,3.89,2.4,2.7,0.0,2,0,1
0.0,4.19,1.65,4.91,0.0,2,0,1
1.0,3.52,2.53,2.71,1.0,2,0,1
0.0,3.56,2.14,3.3,2.0,2,0,1
1.0,7.73,1.19,13.73,1.0,2,0,1
0.0,3.89,1.69,5.06,0.0,2,0,1
1.0,4.96,1.4,7.49,0.0,2,0,1
0.0,3.69,1.84,4.31,0.0,2,0,1
1.0,4.34,1.55,5.77,1.0,2,0,1
0.0,6.73,1.22,13.07,2.0,2,0,1
1.0,3.46,2.47,2.83,1.0,2,0,1
0.0,3.86,1.79,4.33,0.0,2,0,1
1.0,3.18,2.58,2.87,0.0,2,0,1
0.0,3.35,2.23,3.32,0.0,2,0,1
1.0,4.17,1.59,5.62,0.0,2,0,1
1.0,3.58,1.91,4.1,0.0,2,0,1
0.0,3.88,1.71,4.92,0.0,2,0,1
1.0,3.77,1.82,4.32,0.0,2,0,1
1.0,3.78,1.78,4.5,0.0,2,0,1
0.0,3.21,2.27,3.39,0.0,2,0,1
1.0,3.19,2.3,3.31,0.0,2,0,1
0.0,8.3,1.16,15.56,0.0,2,0,1
1.0,3.81,1.68,5.27,0.0,2,0,1
0.0,6.83,1.2,14.26,0.0,2,0,1
1.0,3.38,2.0,3.96,0.0,2,0,1
0.0,4.98,1.38,8.18,0.0,2,0,1
1.0,4.95,1.37,8.83,0.0,2,0,1
0.0,3.64,1.8,4.62,1.0,2,0,1
1.0,3.2,2.55,2.94,1.0,2,0,1
0.0,3.21,2.49,2.98,1.0,2,0,1
1.0,3.65,5.0,1.75,2.0,2,0,1
0.0,3.87,1.62,5.88,2.0,2,0,1
0.0,3.66,1.89,4.09,2.0,2,0,1
1.0,3.67,2.5,2.68,3.0,2,0,1
0.0,3.89,2.4,2.7,1.0,2,0,1
0.0,3.25,2.34,3.19,0.0,0,0,3
1.0,4.82,1.43,6.99,1.0,0,0,3
0.0,3.56,2.02,3.66,1.0,0,0,3
1.0,4.52,1.53,5.76,0.0,0,0,3
0.0,4.18,1.64,5.07,0.0,0,0,3
1.0,3.62,3.61,2.03,2.0,0,0,3
1.0,3.54,2.37,2.91,2.0,0,0,3
0.0,4.65,1.5,6.08,1.0,0,0,3
1.0,3.43,2.91,2.42,1.0,0,0,3
0.0,3.92,1.84,3.97,0.0,0,0,3
1.0,3.6,3.98,1.92,0.0,0,0,3
0.0,3.18,2.87,2.58,0.0,0,0,3
1.0,3.7,1.97,3.7,0.0,0,0,3
0.0,3.29,2.35,3.14,0.0,0,0,3
1.0,3.51,2.18,3.3,0.0,0,0,3
0.0,3.3,2.2,3.44,1.0,0,0,3
1.0,7.08,1.21,12.19,1.0,0,0,3
1.0,3.38,2.11,3.61,0.0,0,0,3
0.0,6.34,1.26,10.8,0.0,0,0,3
1.0,3.58,1.82,4.58,1.0,0,0,3
0.0,5.97,1.26,11.32,1.0,0,0,3
1.0,3.94,1.66,5.2,1.0,0,0,3
0.0,3.54,2.08,3.49,1.0,0,0,3
0.0,3.47,1.97,3.98,1.0,0,0,3
1.0,3.73,1.86,4.19,2.0,0,0,3
0.0,3.55,1.96,3.89,2.0,0,0,3
1.0,3.72,1.97,3.66,2.0,0,0,3
0.0,3.34,3.22,2.29,1.0,0,0,3
1.0,3.21,2.98,2.49,2.0,0,0,3
0.0,4.86,1.44,7.0,1.0,0,0,3
1.0,3.26,2.54,2.91,1.0,0,0,3
0.0,3.46,2.24,3.25,0.0,0,0,3
1.0,3.16,2.92,2.59,0.0,0,0,3
0.0,9.9,1.13,18.62,1.0,0,0,3
1.0,4.19,4.91,1.65,0.0,4,0,0
0.0,3.75,2.28,2.96,0.0,4,0,0
1.0,3.62,2.84,2.38,0.0,4,0,0
0.0,3.78,3.16,2.13,0.0,4,0,0
0.0,7.26,1.22,11.2,0.0,4,0,0
1.0,4.11,4.32,1.75,0.0,4,0,0
0.0,3.66,2.67,2.5,0.0,4,0,0
1.0,3.91,1.91,3.76,0.0,4,0,0
0.0,3.52,2.51,2.73,0.0,4,0,0
